B1,B2,B3,B4,B5,B6,B7,NDVI,elevation,classvalue,sample
0.05187249999999999,0.06446750000000001,0.096945,0.10566249999999999,0.18974375,0.21969125,0.17824874999999998,0.2846292182375965,23,1,train
0.06783624999999999,0.07651250000000001,0.10339374999999998,0.11770749999999999,0.18047625,0.23044375000000003,0.19765,0.21050359048740924,24,1,train
0.07649875,0.08712750000000002,0.10452124999999998,0.12069125,0.20568,0.2604325,0.22114875,0.26040513678824345,27,1,train
0.06445374999999998,0.07546749999999999,0.10173000000000001,0.12091125,0.19938250000000002,0.27051125,0.22590625,0.24499775596620293,30,1,train
0.05691874999999999,0.06255625000000001,0.08829624999999999,0.11493,0.16614874999999998,0.21482375,0.17508625,0.1822220641012527,33,1,train
0.0745875,0.08785625,0.11227625000000002,0.1337125,0.20530875,0.25692625,0.2162675,0.21118513957458415,21,1,train
0.05187249999999999,0.06446750000000001,0.096945,0.10566249999999999,0.18974375,0.21969125,0.17824874999999998,0.2846292182375965,24,1,train
0.06783624999999999,0.07651250000000001,0.10339374999999998,0.11770749999999999,0.18047625,0.23044375000000003,0.19765,0.21050359048740924,26,1,train
0.06472875,0.07660875,0.09622999999999998,0.12448624999999999,0.217395,0.29258,0.251715,0.2717573718944809,28,1,train
0.055172499999999985,0.06445375,0.09060625,0.10963625000000002,0.2000975,0.26585000000000003,0.221355,0.2920613268654126,30,1,train
0.06919750000000002,0.07670500000000002,0.103985,0.12331750000000002,0.19490000000000002,0.236975,0.1977875,0.22494834507844472,33,1,train
0.0686475,0.08392374999999999,0.11504,0.125985,0.2090625,0.25340625,0.20847125,0.24795737917757926,22,1,train
0.04692249999999999,0.06127750000000001,0.08903875,0.10687250000000001,0.1912975,0.208375,0.17035625000000001,0.2831438441157728,23,1,train
0.06492124999999999,0.07645750000000001,0.10717500000000002,0.12437625,0.17591125000000002,0.22235875000000002,0.19741625000000002,0.17161886525413153,27,1,train
0.06472875,0.07660875,0.09622999999999998,0.12448624999999999,0.217395,0.29258,0.251715,0.2717573718944809,29,1,train
0.055172499999999985,0.06445375,0.09060625,0.10963625000000002,0.2000975,0.26585000000000003,0.221355,0.2920613268654126,30,1,train
0.06919750000000002,0.07670500000000002,0.103985,0.12331750000000002,0.19490000000000002,0.236975,0.1977875,0.22494834507844472,31,1,train
0.07640249999999998,0.0904275,0.11110750000000003,0.13285999999999998,0.20702750000000003,0.2901325,0.263815,0.2182119083520284,21,1,train
0.066585,0.07984000000000002,0.10951250000000001,0.1288725,0.204525,0.2726425,0.23747000000000001,0.22691381908982525,24,1,train
0.06592500000000001,0.07571499999999998,0.10879749999999999,0.12298750000000003,0.18225000000000002,0.24044,0.21250000000000002,0.19415209468037178,28,1,train
0.0506625,0.06391750000000002,0.08866750000000001,0.11091499999999999,0.18786000000000003,0.24547249999999998,0.20906249999999998,0.2575349343151202,29,1,train
0.047678750000000006,0.05588750000000001,0.07803875000000002,0.101015,0.167125,0.23437625,0.19677,0.24655030953979265,30,1,train
0.05774375000000001,0.06951374999999999,0.09507499999999999,0.11002125000000001,0.19524375,0.2310625,0.19430875,0.2791754704928504,31,1,train
